"CO_ANO;""CO_MES"";""CO_NCM"";""CO_UNID"";""CO_PAIS"";""SG_UF_NCM"";""CO_VIA"";""CO_URF"";""QT_ESTAT"";""KG_LIQUIDO"";""VL_FOB"";""VL_FRETE"";""VL_SEGURO"""
"2025;""07"";""74153300"";""10"";""249"";""RS"";""04"";""1017801"";0;0;29;7;0"
"2025;""10"";""61031020"";""11"";""160"";""TO"";""01"";""0927700"";1870;2250;20759;1181;0"
"2025;""12"";""90181990"";""11"";""858"";""RJ"";""04"";""0817600"";2;1;2020;23;2"
"2025;""12"";""16041310"";""10"";""607"";""BA"";""01"";""0517800"";960;960;8184;99;0"
"2025;""07"";""84159090"";""10"";""603"";""MG"";""04"";""0817600"";11;11;751;33;0"
"2025;""05"";""84814000"";""11"";""383"";""SP"";""01"";""0817800"";2837;7242;173311;1202;0"
"2025;""08"";""22071090"";""17"";""249"";""SP"";""04"";""0817700"";32;32;1902;1166;0"
"2025;""06"";""11029000"";""10"";""776"";""SP"";""01"";""0817800"";6930;6930;5891;582;0"
"2025;""08"";""85122019"";""11"";""776"";""SP"";""04"";""0817600"";1202;8;3428;384;1"
"2025;""02"";""84242000"";""11"";""249"";""PR"";""04"";""0917900"";4;0;156;3;1"
"2025;""09"";""84842000"";""10"";""161"";""RS"";""01"";""0927800"";0;0;574;0;0"
"2025;""07"";""85471000"";""10"";""399"";""AM"";""04"";""0227700"";0;0;22;2;0"
"2025;""04"";""29124200"";""10"";""160"";""SP"";""01"";""0817800"";24300;24300;206777;6067;36"
"2025;""02"";""83024900"";""10"";""383"";""SP"";""04"";""0817700"";1;1;1364;14;0"
"2025;""06"";""84713019"";""11"";""351"";""SP"";""04"";""0817700"";2;4;1800;58;4"
"2025;""02"";""84842000"";""10"";""249"";""BA"";""04"";""0517801"";7;7;13249;253;1"
"2025;""11"";""73121090"";""10"";""493"";""PA"";""04"";""0817600"";2;2;771;5;0"
"2025;""07"";""29163990"";""10"";""249"";""SP"";""01"";""0817800"";2;2;276;4;0"
"2025;""02"";""61079910"";""11"";""160"";""SP"";""01"";""0817800"";888;792;6658;814;13"
"2025;""11"";""84833029"";""11"";""249"";""RS"";""04"";""0817600"";41;7;7635;27;0"
"2025;""07"";""84195090"";""11"";""493"";""SP"";""04"";""0817900"";1;5;4753;113;3"
"2025;""02"";""90211099"";""10"";""249"";""SP"";""01"";""0817800"";1691;1691;36047;3066;49"
"2025;""04"";""84812090"";""11"";""249"";""PR"";""04"";""0817700"";175;5172;151245;14356;80"
"2025;""06"";""35079019"";""10"";""361"";""SP"";""04"";""0817600"";200;200;2220;1274;0"
"2025;""11"";""84812019"";""11"";""023"";""MG"";""04"";""0817700"";1;0;249;2;0"
"2025;""03"";""84439923"";""10"";""399"";""SP"";""01"";""0817800"";1357;1357;65124;5382;44"
"2025;""09"";""73182900"";""10"";""105"";""SP"";""07"";""0817700"";1;1;12;0;0"
"2025;""10"";""73181900"";""10"";""023"";""SC"";""01"";""0817800"";0;0;5;0;0"
"2025;""03"";""38221930"";""10"";""249"";""SC"";""01"";""0927800"";1401;1401;50695;521;0"
"2025;""05"";""84543090"";""11"";""160"";""RJ"";""01"";""0717600"";8;28;5591;4;0"
"2025;""08"";""71101990"";""10"";""249"";""GO"";""04"";""0817700"";1;1;13200;7;6"
